,Ro,Fr,aspect_ratio,seamount_depth_ratio,s_sriniv,h_hat,height,L,V,paper
,,,,,,,m,m,m/s,
,0.05,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,0.1,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,0.25,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,0.5,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,1,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,2,0.02,0.05333,,50,,800,15000,0.1,srinivasan.ea2021
,,,,,,,,,,
,0.1,1,0.05333,0.8,1,0.1,800,15000,0.1,srinivasan.ea2019
,0.1,1,0.05333,0.4,1,0.1,800,15000,0.1,srinivasan.ea2019
,0.1,1,0.05333,0.2,1,0.1,800,15000,0.1,srinivasan.ea2019
,0.1,0.5,0.05333,0.8,2,0.2,800,15000,0.1,srinivasan.ea2019
,0.1,0.5,0.05333,0.4,2,0.2,800,15000,0.1,srinivasan.ea2019
,0.1,0.5,0.05333,0.2,2,0.2,800,15000,0.1,srinivasan.ea2019
,0.1,0.25,0.05333,0.8,4,0.4,800,15000,0.1,srinivasan.ea2019
,0.1,0.25,0.05333,0.4,4,0.4,800,15000,0.1,srinivasan.ea2019
,0.1,0.25,0.05333,0.2,4,0.4,800,15000,0.1,srinivasan.ea2019
,0.1,0.2,0.05333,0.8,5,0.5,800,15000,0.1,srinivasan.ea2019
,0.1,0.2,0.05333,0.4,5,0.5,800,15000,0.1,srinivasan.ea2019
,0.1,0.2,0.05333,0.2,5,0.5,800,15000,0.1,srinivasan.ea2019
,0.1,0.166666666666667,0.05333,0.8,6,0.6,800,15000,0.1,srinivasan.ea2019
,0.1,0.166666666666667,0.05333,0.4,6,0.6,800,15000,0.1,srinivasan.ea2019
,0.1,0.166666666666667,0.05333,0.2,6,0.6,800,15000,0.1,srinivasan.ea2019
,0.1,0.142857142857143,0.05333,0.8,7,0.7,800,15000,0.1,srinivasan.ea2019
,0.1,0.142857142857143,0.05333,0.4,7,0.7,800,15000,0.1,srinivasan.ea2019
,0.1,0.142857142857143,0.05333,0.2,7,0.7,800,15000,0.1,srinivasan.ea2019
,0.1,0.0714285714285714,0.05333,0.8,14,1.4,800,15000,0.1,srinivasan.ea2019
,0.1,0.0714285714285714,0.05333,0.4,14,1.4,800,15000,0.1,srinivasan.ea2019
,0.1,0.0714285714285714,0.05333,0.2,14,1.4,800,15000,0.1,srinivasan.ea2019
,,,,,,,,,,
,0.1,0.0526315789473684,0.05333,0.8,19,1.9,800,15000,0.1,srinivasan.ea2019
,0.1,0.0344827586206897,0.05333,0.8,29,2.9,800,15000,0.1,srinivasan.ea2019
,0.1,0.02,0.05333,0.8,46,4.6,800,15000,0.1,srinivasan.ea2019
,,,,,,,,,,
,0.35714286,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.17857143,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.08928571,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,,,,,,,,,,
,0.35714286,0.0952381,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.17857143,0.0952381,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.08928571,0.0952381,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,,,,,,,,,,
,0.35714286,0.03571429,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.17857143,0.03571429,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.08928571,0.03571429,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,,,,,,,,,,
,0.35714286,0.01904762,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.17857143,0.01904762,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.08928571,0.01904762,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,,,,,,,,,,
,0.35714286,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.17857143,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,0.08928571,0.01428571,0.25,0.7,,,3500,14000,0.1,perfect.ea2020
,,,,,,,,,,
,0.04,0.01,0.35,0.7,,,3500,10000,0.1,perfect.ea2018
,0.4,0.3,0.35,0.7,,,3500,10000,0.1,perfect.ea2018
